angleChange,distanceChange,xChange,yChange,zChange
0.000142034,0.0899294,-0.0837431,0,-0.0327778
4.31458e-05,0.0902708,-0.0845342,0,-0.0316668
1.21866e-05,0.0905935,-0.0852852,0,-0.0305552
8.86852e-06,0.0908946,-0.0859933,0,-0.0294447
1.0281e-05,0.0911736,-0.0866594,0,-0.0283332
1.06904e-05,0.0914311,-0.0872846,0,-0.0272222
1.05849e-05,0.0916662,-0.0878687,0,-0.0261111
1.03142e-05,0.0918758,-0.0884089,0,-0.0250006
1.00068e-05,0.0920634,-0.0889101,0,-0.0238886
9.70452e-06,0.092225,-0.0893679,0,-0.022778
9.41996e-06,0.0923619,-0.0897846,0,-0.0216665
9.15621e-06,0.0924734,-0.0901599,0,-0.0205555
8.9135e-06,0.0925587,-0.0904932,0,-0.0194445
8.69118e-06,0.0926171,-0.0907845,0,-0.018333
8.48849e-06,0.0926497,-0.0910349,0,-0.0172224
8.30465e-06,0.0926547,-0.0912433,0,-0.0161109
8.13893e-06,0.0926318,-0.0914092,0,-0.0150003
7.99075e-06,0.0925828,-0.0915351,0,-0.0138888
7.85954e-06,0.0925048,-0.0916181,0,-0.0127778
7.74488e-06,0.0923995,-0.09166,0,-0.0116663
7.64639e-06,0.0922654,-0.0916595,0,-0.0105557
7.56383e-06,0.0921031,-0.0916176,0,-0.00944471
7.49699e-06,0.0919136,-0.0915351,0,-0.00833273
7.44581e-06,0.0916946,-0.0914097,0,-0.00722265
7.41025e-06,0.0914472,-0.0912428,0,-0.00611115
7.39043e-06,0.0911721,-0.0910349,0,-0.00500011
7.3865e-06,0.0908683,-0.090785,0,-0.00388861
7.39878e-06,0.0905349,-0.0904922,0,-0.00277805
7.42763e-06,0.0901748,-0.0901594,0,-0.00166655
7.47356e-06,0.0897873,-0.0897856,0,-0.000555515
7.53716e-06,0.0893696,-0.0893679,0,0.000555515
7.6192e-06,0.0889267,-0.0889111,0,0.00166702
7.72049e-06,0.0884521,-0.0884085,0,0.00277758
7.84209e-06,0.0879538,-0.0878677,0,0.00388908
7.98516e-06,0.0874281,-0.087285,0,0.00499964
8.15105e-06,0.0868747,-0.0866594,0,0.00611162
8.34124e-06,0.0862965,-0.0859938,0,0.0072217
8.5575e-06,0.0856895,-0.0852833,0,0.00833368
8.80179e-06,0.0850615,-0.0845356,0,0.00944376
9.07633e-06,0.0844067,-0.083744,0,0.0105557
9.38355e-06,0.0837264,-0.0829096,0,0.0116668
9.72631e-06,0.0830233,-0.0820341,0,0.0127778
1.01077e-05,0.0822981,-0.0811176,0,0.0138888
1.05313e-05,0.0815515,-0.0801601,0,0.0149999
1.10009e-05,0.0807827,-0.0791597,0,0.0161114
1.15211e-05,0.0799933,-0.0781174,0,0.0172224
1.20966e-05,0.0791874,-0.0770359,0,0.0183334
1.27329e-05,0.0783604,-0.0759096,0,0.0194445
1.34361e-05,0.0775183,-0.0747433,0,0.0205555
1.42129e-05,0.0766596,-0.073534,0,0.0216665
1.50707e-05,0.0757886,-0.0722847,0,0.022778
1.60175e-05,0.0749056,-0.0709944,0,0.0238881
1.70623e-05,0.0740088,-0.0696583,0,0.0250006
1.82146e-05,0.0731068,-0.068285,0,0.0261106
1.94848e-05,0.0721977,-0.0668688,0,0.0272226
2.08835e-05,0.0712807,-0.0654078,0,0.0283332
2.2422e-05,0.0703679,-0.0639114,0,0.0294442
2.41117e-05,0.0694503,-0.0623674,0,0.0305557
2.59632e-05,0.0685393,-0.0607853,0,0.0316668
2.79863e-05,0.0676329,-0.0591593,0,0.0327778
5.53322e-05,0.0805395,-0.0686159,0,0.042172
7.26546e-05,0.0806086,-0.0659122,0,0.0464039
7.85566e-05,0.0809596,-0.0633039,0,0.0504684
8.02375e-05,0.0815541,-0.060792,0,0.0543637
7.95653e-05,0.0823555,-0.0583763,0,0.0580916
7.71979e-05,0.0833259,-0.056056,0,0.0616517
7.35659e-05,0.0844318,-0.0538321,0,0.0650449
6.90547e-05,0.0856379,-0.0517044,0,0.0682678
6.40048e-05,0.086916,-0.0496712,0,0.0713243
5.86931e-05,0.0882384,-0.0477352,0,0.0742116
5.33327e-05,0.0895825,-0.0458965,0,0.076932
4.80817e-05,0.0909237,-0.0441523,0,0.079484
4.30527e-05,0.0922443,-0.0425043,0,0.0818682
3.83204e-05,0.0935263,-0.0409517,0,0.084084
3.39286e-05,0.0947558,-0.0394964,0,0.0861318
2.98961e-05,0.0959185,-0.0381346,0,0.088012
2.62231e-05,0.097005,-0.0368729,0,0.0897238
2.28965e-05,0.0980039,-0.0357046,0,0.0912685
1.98948e-05,0.0989053,-0.0346317,0,0.092644
1.71911e-05,0.0997039,-0.0336552,0,0.093852
1.47557e-05,0.100393,-0.0327768,0,0.094892
1.25584e-05,0.100966,-0.031992,0,0.0957637
1.05691e-05,0.10142,-0.0313034,0,0.096468
